Anno;Municipio;Eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Famiglie
2003;Municipio 1;Da 18 a 34 anni;Maschi;1;1713
2003;Municipio 1;Da 18 a 34 anni;Maschi;2;1139
2003;Municipio 1;Da 18 a 34 anni;Maschi;3;597
2003;Municipio 1;Da 18 a 34 anni;Maschi;4 e più;320
2003;Municipio 1;Da 35 a 64 anni;Maschi;1;3391
2003;Municipio 1;Da 35 a 64 anni;Maschi;2;3863
2003;Municipio 1;Da 35 a 64 anni;Maschi;3;4544
2003;Municipio 1;Da 35 a 64 anni;Maschi;4 e più;4735
2003;Municipio 1;Da 65 a 79 anni;Maschi;1;837
2003;Municipio 1;Da 65 a 79 anni;Maschi;2;3279
2003;Municipio 1;Da 65 a 79 anni;Maschi;3;982
2003;Municipio 1;Da 65 a 79 anni;Maschi;4 e più;294
2003;Municipio 1;80 anni e più;Maschi;1;439
2003;Municipio 1;80 anni e più;Maschi;2;960
2003;Municipio 1;80 anni e più;Maschi;3;128
2003;Municipio 1;80 anni e più;Maschi;4 e più;29
2003;Municipio 1;Da 18 a 34 anni;Femmine;1;1681
2003;Municipio 1;Da 18 a 34 anni;Femmine;2;635
2003;Municipio 1;Da 18 a 34 anni;Femmine;3;250
2003;Municipio 1;Da 18 a 34 anni;Femmine;4 e più;135
2003;Municipio 1;Da 35 a 64 anni;Femmine;1;3765
2003;Municipio 1;Da 35 a 64 anni;Femmine;2;2294
2003;Municipio 1;Da 35 a 64 anni;Femmine;3;1201
2003;Municipio 1;Da 35 a 64 anni;Femmine;4 e più;717
2003;Municipio 1;Da 65 a 79 anni;Femmine;1;2999
2003;Municipio 1;Da 65 a 79 anni;Femmine;2;785
2003;Municipio 1;Da 65 a 79 anni;Femmine;3;133
2003;Municipio 1;Da 65 a 79 anni;Femmine;4 e più;47
2003;Municipio 1;80 anni e più;Femmine;1;2281
2003;Municipio 1;80 anni e più;Femmine;2;345
2003;Municipio 1;80 anni e più;Femmine;3;47
2003;Municipio 1;80 anni e più;Femmine;4 e più;10
2003;Municipio 2;Da 18 a 34 anni;Maschi;1;2854
2003;Municipio 2;Da 18 a 34 anni;Maschi;2;1889
2003;Municipio 2;Da 18 a 34 anni;Maschi;3;980
