Year,Grand Prix,Sector,Driver,Time
2018,Australia,1,L. Hamilton,26.698
2018,Australia,1,M. Verstappen,26.971
2018,Australia,1,K. Raikkonen,26.992
2018,Australia,1,S. Vettel,27.018
2018,Australia,1,V. Bottas,27.169
2018,Australia,1,D. Ricciardo,27.237
2018,Australia,1,C. Sainz Jr.,27.395
2018,Australia,1,K. Magnussen,27.487
2018,Australia,1,F. Alonso,27.489
2018,Australia,1,N. Hulkenberg,27.521
2018,Australia,1,R. Grosjean,27.546
2018,Australia,1,S. Vandoorne,27.567
2018,Australia,1,S. Perez,27.618
2018,Australia,1,L. Stroll,27.793
2018,Australia,1,M. Ericsson,27.812
2018,Australia,1,E. Ocon,27.865
2018,Australia,1,S. Sirotkin,27.964
2018,Australia,1,B. Hartley,27.993
2018,Australia,1,P. Gasly,28.146
2018,Australia,1,C. Leclerc,28.153
2018,Australia,2,L. Hamilton,22.066
2018,Australia,2,S. Vettel,22.129
2018,Australia,2,K. Raikkonen,22.204
2018,Australia,2,M. Verstappen,22.241
2018,Australia,2,V. Bottas,22.332
2018,Australia,2,D. Ricciardo,22.448
2018,Australia,2,K. Magnussen,22.628
2018,Australia,2,R. Grosjean,22.636
2018,Australia,2,F. Alonso,22.647
2018,Australia,2,N. Hulkenberg,22.653
2018,Australia,2,C. Sainz Jr.,22.656
2018,Australia,2,S. Vandoorne,22.741
2018,Australia,2,L. Stroll,22.771
2018,Australia,2,S. Perez,22.786
2018,Australia,2,C. Leclerc,22.901
2018,Australia,2,E. Ocon,22.938
2018,Australia,2,B. Hartley,22.942
2018,Australia,2,M. Ericsson,22.963
2018,Australia,2,S. Sirotkin,23.1
2018,Australia,2,P. Gasly,23.144
2018,Australia,3,L. Hamilton,32.4
2018,Australia,3,D. Ricciardo,32.464
2018,Australia,3,M. Verstappen,32.563
2018,Australia,3,V. Bottas,32.588
2018,Australia,3,K. Raikkonen,32.632
2018,Australia,3,S. Vettel,32.691
2018,Australia,3,C. Sainz Jr.,32.972
2018,Australia,3,K. Magnussen,33.065
2018,Australia,3,R. Grosjean,33.109
2018,Australia,3,N. Hulkenberg,33.176
2018,Australia,3,F. Alonso,33.206
2018,Australia,3,S. Vandoorne,33.387
2018,Australia,3,S. Perez,33.518
2018,Australia,3,E. Ocon,33.572
2018,Australia,3,C. Leclerc,33.582
2018,Australia,3,B. Hartley,33.597
2018,Australia,3,S. Sirotkin,33.62
2018,Australia,3,L. Stroll,33.657
2018,Australia,3,M. Ericsson,33.704
2018,Australia,3,P. Gasly,33.959
2018,Bahrein,1,S. Vettel,27.989
2018,Bahrein,1,V. Bottas,28.014
2018,Bahrein,1,K. Raikkonen,28.047
2018,Bahrein,1,L. Hamilton,28.081
2018,Bahrein,1,D. Ricciardo,28.275
2018,Bahrein,1,P. Gasly,28.413
2018,Bahrein,1,K. Magnussen,28.447
2018,Bahrein,1,E. Ocon,28.481
2018,Bahrein,1,S. Perez,28.564
2018,Bahrein,1,N. Hulkenberg,28.582
2018,Bahrein,1,C. Sainz Jr.,28.595
2018,Bahrein,1,B. Hartley,28.681
2018,Bahrein,1,M. Verstappen,28.732
2018,Bahrein,1,R. Grosjean,28.782
2018,Bahrein,1,F. Alonso,28.858
2018,Bahrein,1,M. Ericsson,28.878
2018,Bahrein,1,S. Vandoorne,28.998
2018,Bahrein,1,S. Sirotkin,29.056
2018,Bahrein,1,L. Stroll,29.107
2018,Bahrein,1,C. Leclerc,29.127
2018,Bahrein,2,K. Raikkonen,37.859
