Indirizzo,Telefono,Fax,CAP,MUNICIPIO,ID_NIL,NIL,LONG_X_4326,LAT_Y_4326,Location
BASTIONI DI PORTA VOLTA 7,02-6572655,02-29002004,20121,1,2,BRERA,9.182151000000033,45.47960100000006,(45.47960100000006;9.182151000000033)
CORSO DI PORTA VIGENTINA 35,02-58320771,02-58319779,20122,1,5,PORTA VIGENTINA - PORTA LODOVICA,9.196519500000022,45.45253800000006,(45.45253800000006;9.196519500000022)
CORSO ITALI 16,02-804336,02-86454450,20122,1,1,DUOMO,9.187470000000076,45.45789300000007,(45.45789300000007;9.187470000000076)
CORSO SEMPIONE 94,,,20154,8,69,SARPI,9.15850800000004,45.48654000000005,(45.48654000000005;9.15850800000004)
CORSO VENEZIA 42,02-76023056,02-7837251,20121,1,4,GUASTALLA,9.202702500000044,45.47186100000005,(45.47186100000005;9.202702500000044)
LARGO GIOVANNI BATTISTA SCALABRINI 5,02-47714011,02-47714047,20146,6,49,GIAMBELLINO,9.14118300000007,45.45039600000007,(45.45039600000007;9.14118300000007)
PIAZZA NAPOLI 38,02-42255211,02-42255247,20146,6,49,GIAMBELLINO,9.152788500000042,45.45247500000005,(45.45247500000005;9.152788500000042)
PIAZZA SANTA MARIA NASCENTE 2,02-325774,02-3271232,20148,8,66,QT 8,9.137857500000052,45.48622500000005,(45.48622500000005;9.137857500000052)
PIAZZALE COSTANTINO NIGRA 1,02-37790911,02-37790947,20158,9,78,FARINI,9.171009000000026,45.49615200000005,(45.49615200000005;9.171009000000026)
VIA ADELCHI 2,02-2665192,02-26680123,20131,3,22,CITTA' STUDI,9.231767370000057,45.485437286000035,(45.485437286000035;9.231767370000057)
VIA ALFREDO CAPPELLINI 17/19,02-6773311,02-67733147,20124,2,10,STAZIONE CENTRALE - PONTE SEVESO,9.201735000000042,45.48195000000004,(45.48195000000004;9.201735000000042)
VIA ANDREA VOCHIERI 12,02-66200116,02-66203094,20161,9,80,AFFORI,9.168682500000045,45.51414300000005,(45.51414300000005;9.168682500000045)
VIA APPENNINI 77/A,02-3535414,02-3538072,20151,8,65,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9.104292000000044,45.50207400000005,(45.50207400000005;9.104292000000044)
VIA ARQUA' 14,02-26141687,02-26825342,20131,2,20,LORETO - CASORETTO - NOLO,9.22771350000005,45.49287600000008,(45.49287600000008;9.22771350000005)
VIA BENOZZO GOZZOLI 51,02-48945239,02-48945202,20152,7,55,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,9.090990000000033,45.45560700000004,(45.45560700000004;9.090990000000033)
